OperatorName,Address.City,Address.PostalCode,Address.Street,Address.HouseNum,lat,lon,charger_count
EWD Elektrizitätswerk Davos AG,Davos,7270,Promenade,40,46.79327,9.82131,1
EWD Elektrizitätswerk Davos AG,Davos,7270,Promenade,40,46.79336,9.82095,1
EWD Elektrizitätswerk Davos AG,Davos,7270,Talstrasse,49a,46.79975,9.83108,1
EWD Elektrizitätswerk Davos AG,Davos,7270,Talstrasse,49a,46.79978,9.83104,1
EWD Elektrizitätswerk Davos AG,Davos,7270,Talstrasse,49a,46.80008,9.83121,1
EWD Elektrizitätswerk Davos AG,Davos,7270,Talstrasse,49a,46.80013,9.83124,1
Electra,Spreitenbach,8957,Shopping Center,,47.421855,8.369587,12
Electra,Affoltern am Albis,8910,Moosbachstrasse 1,,47.271911,8.438941,7
Electra,Affoltern am Albis,8910,Moosbachstrasse 1,,47.272044,8.437776,7
Electra,Bern,3014,Mingerstrasse 12,,46.9592017,7.46922954,6
Electra,Rubigen,3113,Hunzigen 100,,46.891539,7.542147,6
Electra,Wädenswil,8820,Zugerstrasse 180,,47.235624,8.635601,6
Electra,Affoltern am Albis,8910,Obfelderstrasse 38,,47.272223,8.438791,4
Electra,Aubonne,1170,Pré-Neuf 14,,46.4769091,6.39483695,4
Electra,Bern,3008,Freiburgstrasse 144,,46.94323936,7.40575985,4
Electra,Collombey,1868,Z.A. Entre deux Fossaux 3,,46.266538,6.953528,4
Electra,Crissier,1023,Chem. de l'Esparcette 4,,46.552759,6.572204,4
Electra,Diepoldsau,9444,Tramstrasse 33,,47.3898,9.649034,4
Electra,Gebenstorf,5412,Wambisterstrasse 4,,47.48950111,8.24353608,4
Electra,Gland,1196,Rue des Tuillières 1,,46.422484,6.258075,4
Electra,Granges-Paccot,1763,"Route du Lac, 21",,46.8237878,7.15026468,4
Electra,Kilchberg,8802,Seestrasse 169,,47.32107527,8.55096615,4
Electra,Sion,1950,Route de Chippis 64C,,46.23060216,7.3845297,4
Electra,St Gallen,9000,Rorschacher Str. 152,,47.4313003,9.396489,4
Electra,Vilters-Wangs,7323,Bahnhofstrasse 58,,47.039263,9.436972,4
Electra,Zurich,8005,Schiffbaustrasse 11,,47.388954,8.517296,4
Electra,Zürich,8005,Förrlibuckstrasse 10,,47.39161,8.516509,4
Electra,Zürich,8008,Mühlebachstrasse 23 / 25,,47.364842,8.550477,4
Electra,Zürich,8057,Hofwiesenstrasse 135,,47.39914188,8.53300958,2
Elektrizitätswerk Herrliberg,Herrliberg,8704,Forchstrasse,16,47.284845,8.611227,1
Elektrizitätswerk Obwalden,Alpnach,6055,Bahnhofplatz,1.0,46.94119,8.275739999999999,1
Elektrizitätswerk Obwalden,Engelberg,6390,Bahnhof,nan,46.81965,8.40193,1
Elektrizitätswerk Obwalden,Giswil,6074,Gorgenstrasse,nan,46.83674,8.18736,1
Elektrizitätswerk Obwalden,Kerns,6064,Sarnerstrasse,5.0,46.90111,8.27367,1
Elektrizitätswerk Obwalden,Lungern,6078,Bahnhofstrasse,nan,46.78573,8.16329,1
Elektrizitätswerk Obwalden,Sachseln,6072,Bahnhofplatz,1.0,46.87077,8.23782,1
Elektrizitätswerk Obwalden,Sarnen,6060,Bahnhofplatz,7.0,46.89538,8.2476,1
Elektrizitätswerk der Stadt Zürich,Zürich,8001,Rämistrasse 22a,,47.368675,8.548148,75
Elektrizitätswerk der Stadt Zürich,Zürich,8001,Uraniastrasse 3,,47.373982,8.541,46
Elektrizitätswerk der Stadt Zürich,Zürich,8037,Tièchestrasse 99,,47.399139,8.519974,19
Elektrizitätswerk der Stadt Zürich,Zürich,8005,Giessereistrasse 18,,47.390377,8.518149,17
Elektrizitätswerk der Stadt Zürich,Zürich,8005,Sihlquai 41,,47.381523,8.537645,17
Elektrizitätswerk der Stadt Zürich,Zürich,8005,Giessereistrasse 18,,47.390553,8.517615,16
Elektrizitätswerk der Stadt Zürich,Zürich,8004,Bullingerstrasse 73,,47.381325,8.509692,15
Elektrizitätswerk der Stadt Zürich,Zürich,8005,Giessereistrasse 18,,47.390465,8.517886,15
Elektrizitätswerk der Stadt Zürich,Zürich,8005,Giessereistrasse 18,,47.390648,8.517337,15
Elektrizitätswerk der Stadt Zürich,Zürich,8008,Riesbachstrasse 7,,47.360069,8.553703,15
Elektrizitätswerk der Stadt Zürich,Zürich,8044,Vorderberg 3,,47.37624,8.558915,13
Elektrizitätswerk der Stadt Zürich,Zürich,8005,Limmatstrasse 310,,47.390026,8.524166,9
Elektrizitätswerk der Stadt Zürich,Zürich,8004,Molkenstrasse 9,,47.376511,8.527011,6
Elektrizitätswerk der Stadt Zürich,Zürich,8005,Ausstellungsstrasse 17,,47.38137878,8.53722049,6
Elektrizitätswerk der Stadt Zürich,Zürich,8038,Forellenweg 9,,47.33855619,8.53889522,6
Elektrizitätswerk der Stadt Zürich,Zürich,8050,Schwamendingenstrasse 31,,47.407742,8.548801,6
Elektrizitätswerk der Stadt Zürich,Zürich,8051,Ueberlandstrasse 444,,47.40466385,8.59419836,6
Elektrizitätswerk der Stadt Zürich,Cazis,7408,La Nicca Strasse 17,,46.730991,9.426774,4
